Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Taxonomic lineage IDs	Taxonomic lineage (ALL)	Organism ID
Q6DAY3	LLDD_PECAS	reviewed	L-lactate dehydrogenase (EC 1.1.-.-)	lldD ECA0119	Pectobacterium atrosepticum (strain SCRI 1043 / ATCC BAA-672) (Erwinia carotovora subsp. atroseptica)	386	218491	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Pectobacteriaceae, Pectobacterium, Pectobacterium atrosepticum (Erwinia carotovora subsp. atroseptica), Pectobacterium atrosepticum (strain SCRI 1043 / ATCC BAA-672) (Erwinia carotovora subsp. atroseptica)	218491
Q5P1A9	PYRD_AROAE	reviewed	Dihydroorotate dehydrogenase (quinone) (EC 1.3.5.2) (DHOdehase) (DHOD) (DHODase) (Dihydroorotate oxidase)	pyrD AZOSEA27800 ebA4888	Aromatoleum aromaticum (strain EbN1) (Azoarcus sp. (strain EbN1))	350	76114	cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Rhodocyclales, Rhodocyclaceae, Aromatoleum, Aromatoleum aromaticum, Aromatoleum aromaticum (strain EbN1) (Azoarcus sp. (strain EbN1))	76114
Q6GIG7	NMO_STAAR	reviewed	Probable nitronate monooxygenase (NMO) (EC 1.13.12.-) (Propionate 3-nitronate monooxygenase) (P3N monooxygenase)	SAR0883	Staphylococcus aureus (strain MRSA252)	355	282458	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Staphylococcaceae, Staphylococcus, Staphylococcus aureus, Staphylococcus aureus subsp. aureus, Staphylococcus aureus (strain MRSA252)	282458
O95994	AGR2_HUMAN	reviewed	Anterior gradient protein 2 homolog (AG-2) (hAG-2) (HPC8) (Secreted cement gland protein XAG-2 homolog)	AGR2 AG2 UNQ515/PRO1030	Homo sapiens (Human)	175	9606	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Hominoidea (apes), Hominidae (great apes), Homininae, Homo, Homo sapiens (Human)	9606
P47177	2NDP_YEAST	reviewed	Putative nitronate monooxygenase (EC 1.13.12.16) (Nitroalkane oxidase)	YJR149W J2213	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	404	559292	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Saccharomycotina (true yeasts), Saccharomycetes, Saccharomycetales, Saccharomycetaceae, Saccharomyces, Saccharomyces cerevisiae (Baker's yeast), Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292
Q12723	2NPD_CYBMR	reviewed	Nitronate monooxygenase (EC 1.13.12.16) (2-nitropropane dioxygenase) (2-NPD) (Nitroalkane oxidase)		Cyberlindnera mrakii (Yeast) (Williopsis mrakii)	374	1004253	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Saccharomycotina (true yeasts), Saccharomycetes, Saccharomycetales, Phaffomycetaceae, Cyberlindnera, Cyberlindnera mrakii (Yeast) (Williopsis mrakii)	1004253
Q9WYM8	AGLUS_THEMA	reviewed	Archaeal-type glutamate synthase [NADPH] (EC 1.4.1.13) (Archaeal-type NADPH-GOGAT)	gltB TM_0397	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	507	243274	cellular organisms, Bacteria, Thermotogae, Thermotogae, Thermotogales, Thermotogaceae, Thermotoga, Thermotoga maritima, Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	243274
P20839	IMDH1_HUMAN	reviewed	Inosine-5'-monophosphate dehydrogenase 1 (IMP dehydrogenase 1) (IMPD 1) (IMPDH 1) (EC 1.1.1.205) (IMPDH-I)	IMPDH1 IMPD1	Homo sapiens (Human)	514	9606	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Hominoidea (apes), Hominidae (great apes), Homininae, Homo, Homo sapiens (Human)	9606
Q9BU20	CPLN2_HUMAN	reviewed	Ciliogenesis and planar polarity effector 2 (REM2- and Rab-like small GTPase 1)	CPLANE2 C1orf89 RSG1	Homo sapiens (Human)	258	9606	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Hominoidea (apes), Hominidae (great apes), Homininae, Homo, Homo sapiens (Human)	9606
Q8WWZ1	IL1FA_HUMAN	reviewed	Interleukin-1 family member 10 (IL-1F10) (Family of interleukin 1-theta) (FIL1 theta) (Interleukin-1 HY2) (IL-1HY2) (Interleukin-1 theta) (IL-1 theta) (Interleukin-38) (IL-38)	IL1F10 FIL1T IL1HY2 IL38 FKSG75 UNQ6119/PRO20041	Homo sapiens (Human)	152	9606	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Hominoidea (apes), Hominidae (great apes), Homininae, Homo, Homo sapiens (Human)	9606
Q7NTY1	GUAC_CHRVO	reviewed	GMP reductase (EC 1.7.1.7) (Guanosine 5'-monophosphate oxidoreductase) (Guanosine monophosphate reductase)	guaC CV_2922	Chromobacterium violaceum (strain ATCC 12472 / DSM 30191 / JCM 1249 / NBRC 12614 / NCIMB 9131 / NCTC 9757)	316	243365	cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Neisseriales, Chromobacteriaceae, Chromobacterium group, Chromobacterium, Chromobacterium violaceum, Chromobacterium violaceum (strain ATCC 12472 / DSM 30191 / JCM 1249 / NBRC 12614 / NCIMB 9131 / NCTC 9757)	243365
O05413	NMO_BACSU	reviewed	Probable nitronate monooxygenase (NMO) (EC 1.13.12.-) (Propionate 3-nitronate monooxygenase) (P3N monooxygenase)	yrpB BSU26800	Bacillus subtilis (strain 168)	347	224308	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, Bacillus subtilis group, Bacillus subtilis, Bacillus subtilis subsp. subtilis, Bacillus subtilis (strain 168)	224308
B2TEK6	NMO_PARPJ	reviewed	Nitronate monooxygenase (NMO) (EC 1.13.12.-) (Propionate 3-nitronate monooxygenase) (P3N monooxygenase)	Bphyt_4144	Paraburkholderia phytofirmans (strain DSM 17436 / LMG 22146 / PsJN) (Burkholderia phytofirmans)	366	398527	cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Paraburkholderia, Paraburkholderia phytofirmans, Paraburkholderia phytofirmans (strain DSM 17436 / LMG 22146 / PsJN) (Burkholderia phytofirmans)	398527
Q8YBP2	NANEK_BRUME	reviewed	Bifunctional enzyme NanE/NanK [Includes: Putative N-acetylmannosamine-6-phosphate 2-epimerase (EC 5.1.3.9) (ManNAc-6-P epimerase); N-acetylmannosamine kinase (EC 2.7.1.60) (ManNAc kinase) (N-acetyl-D-mannosamine kinase)]	nanEK BMEII0857	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	518	224914	cellular organisms, Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Brucellaceae, Brucella, Brucella melitensis, Brucella melitensis bv. 1, Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	224914
Q6A6A0	NANE_CUTAK	reviewed	Putative N-acetylmannosamine-6-phosphate 2-epimerase (EC 5.1.3.9) (ManNAc-6-P epimerase)	nanE PPA1997	Cutibacterium acnes (strain DSM 16379 / KPA171202) (Propionibacterium acnes)	229	267747	cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria (high G+C Gram-positive bacteria), Propionibacteriales, Propionibacteriaceae, Cutibacterium, Cutibacterium acnes (Propionibacterium acnes), Cutibacterium acnes (strain DSM 16379 / KPA171202) (Propionibacterium acnes)	267747
Q4L4T4	NMO_STAHJ	reviewed	Probable nitronate monooxygenase (NMO) (EC 1.13.12.-) (Propionate 3-nitronate monooxygenase) (P3N monooxygenase)	SH2032	Staphylococcus haemolyticus (strain JCSC1435)	357	279808	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Staphylococcaceae, Staphylococcus, Staphylococcus haemolyticus, Staphylococcus haemolyticus (strain JCSC1435)	279808
O87392	GLXD_RHIME	reviewed	Glutamate synthase large subunit-like protein	glxD R00089 SMc02612	Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)	442	266834	cellular organisms, Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Rhizobiaceae, Sinorhizobium/Ensifer group, Sinorhizobium, Rhizobium meliloti (Ensifer meliloti) (Sinorhizobium meliloti), Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)	266834
Q8NXG7	NMO_STAAW	reviewed	Probable nitronate monooxygenase (NMO) (EC 1.13.12.-) (Propionate 3-nitronate monooxygenase) (P3N monooxygenase)	MW0803	Staphylococcus aureus (strain MW2)	355	196620	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Staphylococcaceae, Staphylococcus, Staphylococcus aureus, Staphylococcus aureus subsp. aureus, Staphylococcus aureus (strain MW2)	196620
B0T7X2	LLDD_CAUSK	reviewed	L-lactate dehydrogenase (EC 1.1.-.-)	lldD Caul_3608	Caulobacter sp. (strain K31)	380	366602	cellular organisms, Bacteria, Proteobacteria, Alphaproteobacteria, Caulobacterales, Caulobacteraceae, Caulobacter, unclassified Caulobacter, Caulobacter sp. (strain K31)	366602
Q12933	TRAF2_HUMAN	reviewed	TNF receptor-associated factor 2 (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRAF2) (RING-type E3 ubiquitin transferase TRAF2) (Tumor necrosis factor type 2 receptor-associated protein 3)	TRAF2 TRAP3	Homo sapiens (Human)	501	9606	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Hominoidea (apes), Hominidae (great apes), Homininae, Homo, Homo sapiens (Human)	9606
P78424	PO6F2_HUMAN	reviewed	POU domain, class 6, transcription factor 2 (Retina-derived POU domain factor 1) (RPF-1)	POU6F2 RPF1	Homo sapiens (Human)	691	9606	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Hominoidea (apes), Hominidae (great apes), Homininae, Homo, Homo sapiens (Human)	9606
B7UWL8	PYRD_PSEA8	reviewed	Dihydroorotate dehydrogenase (quinone) (EC 1.3.5.2) (DHOdehase) (DHOD) (DHODase) (Dihydroorotate oxidase)	pyrD PLES_20091	Pseudomonas aeruginosa (strain LESB58)	342	557722	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, Pseudomonas aeruginosa group, Pseudomonas aeruginosa, Pseudomonas aeruginosa (strain LESB58)	557722
